,Unnamed: 0,dyad_gameid,trial_num,turn_num,message_id,workerID,block,phrases,scene,tower,message_num,message,content,refExps,leftTarget,rightTarget,tower_pair,rep
22,22,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,2,d7418ae8-cfa7-1765-e757-155d5c07d046,0,1,blue,0.0,0,1,"for left red line, place blue block on highest red so it stick out on the right side",blue,,C,Pi,C_Pi,1
23,23,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,2,d7418ae8-cfa7-1765-e757-155d5c07d046,1,1,blue block,0.0,0,1,"for left red line, place blue block on highest red so it stick out on the right side",blue block,,C,Pi,C_Pi,1
24,24,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,4,4b91cbe8-fea4-ca6a-3342-3b60310dfbf4,0,1,red,0.0,0,2,"for right red line, place one red block two space away from that line,",red,,C,Pi,C_Pi,1
25,25,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,4,4b91cbe8-fea4-ca6a-3342-3b60310dfbf4,1,1,one red block,0.0,0,2,"for right red line, place one red block two space away from that line,",one red block,,C,Pi,C_Pi,1
26,26,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,6,a6a99aab-6c81-1d57-b283-5bff857d114b,0,1,blue,0.0,0,3,"same as step 3, but on the left side, so there is two spaces apart between those two red blocks",blue,,C,Pi,C_Pi,1
27,27,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,6,a6a99aab-6c81-1d57-b283-5bff857d114b,1,2,"same, two red blocks",0.0,1,3,"same as step 3, but on the left side, so there is two spaces apart between those two red blocks",same two red blocks,,C,Pi,C_Pi,1
28,28,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,8,650f1375-60fc-01e2-bcd6-35ccb9c4abb6,0,1,blue,0.0,0,4,"for right red line, place one blue block on top of each red block so the blue blocks meet/touch",blue,,C,Pi,C_Pi,1
29,29,0110-5784fec9-109a-4d7a-a343-4820f4d42144,2.0,8,650f1375-60fc-01e2-bcd6-35ccb9c4abb6,1,1,one blue block,0.0,0,4,"for right red line, place one blue block on top of each red block so the blue blocks meet/touch",one blue block,,C,Pi,C_Pi,1
30,30,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,0,13bd01ae-70dd-4704-2489-88cf091523be,0,0,the same exact construction,0.0,1,0,"on the left red line, the same exact construction as right red line in previous round
",the same exact construction,,Pi,C,Pi_C,2
31,31,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,0,13bd01ae-70dd-4704-2489-88cf091523be,1,0,same exact construction,0.0,1,0,"on the left red line, the same exact construction as right red line in previous round
",same exact construction,,Pi,C,Pi_C,2
32,32,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,2,27b22a70-a945-2a96-a123-9c7249ace049,0,2,one red block on left and right,0.0,0,1,"on left red line, one red block on left and right side of red line so they are two spaces apart",one red block on left and right,,Pi,C,Pi_C,2
33,33,0110-5784fec9-109a-4d7a-a343-4820f4d42144,3.0,2,27b22a70-a945-2a96-a123-9c7249ace049,1,1,one red block,0.0,0,1,"on left red line, one red block on left and right side of red line so they are two spaces apart",one red block,,Pi,C,Pi_C,2
